p,d,q,mae,mse,rmse
2,5,2,416872.20496771246,453649459521.4387,673535.0469882311
2,4,8,3596387.7902593836,29482038789062.91,5429736.530354204
2,5,3,1934645.228246086,10135756933918.322,3183670.355724399
2,4,9,4032563.128763394,37091661616110.58,6090292.408095902
2,5,4,2678067.291443737,16781370740447.959,4096507.1390695707
2,5,6,10692154.838723676,293216384948733.9,17123562.273917593
2,5,5,3092438.9626817545,25392050370638.332,5039052.527076725
2,5,7,29400030.953412987,2356537811985151.5,48544184.12111951
2,6,1,18406343749.16907,9.516838098409378e+20,30849372924.598286
2,6,2,4932764566.672134,7.881707860613562e+19,8877898321.457373
2,5,8,49881453.34230077,6817533836692388.0,82568358.56847578
2,6,3,875620952.7584397,2.163459634993541e+18,1470870366.4815404
2,5,9,5976729.5167683335,89643175217683.67,9468007.985721372
2,6,5,165776745.8029358,8.375295884892696e+16,289401034.63693243
2,6,4,35620161.35076442,3561397198217707.5,59677442.95977926
2,6,6,13164368597.662539,5.667075979317095e+20,23805621141.48063
2,6,7,1594081166.265741,8.270850050992087e+18,2875908560.9580994
2,7,2,1080669964521.0614,4.376400448728521e+24,2091984810826.4363
2,7,1,41905804055742.36,5.777519333285814e+27,76009994956491.17
2,6,9,9327898135.016127,2.8221215108505603e+20,16799171142.79916
2,7,4,1.776260938954642e+23,4.101982876265281e+46,2.0253352503388866e+23
2,6,8,109496005800.53403,3.922604247633151e+22,198055654997.10303
2,7,5,214074226114.0926,1.5997683248829225e+23,399971039561.9816
2,7,3,30781551776.712975,3.26131694622732e+21,57107941183.580765
2,7,6,19382265580733.95,1.4128378360715515e+27,37587735181459.81
2,8,1,1.9267927325809624e+16,1.4033139273082216e+33,3.746083190891817e+16
2,7,8,34689112423114.465,4.521494968690375e+27,67242062495809.68
2,8,2,1288195721179792.0,7.004634667284542e+30,2646627035924129.0
2,7,9,6531152084349.492,1.588591020251507e+26,12603932006526.8
2,8,3,16522298364433.023,1.0702274785063879e+27,32714331393234.8
2,7,7,2.147229985042779e+17,6.22833239874809e+34,2.4956627173454528e+17
2,8,5,1324078204089.85,7.442307027246092e+24,2728059205231.0913
2,8,4,1641212070629.5173,1.0926671019770547e+25,3305551545471.7305
2,8,6,502641238335621.4,1.0677785348987048e+30,1033333699682104.0
2,9,1,3.206708171313225e+18,4.401806031566946e+37,6.634610788559451e+18
2,9,2,2.250163218140851e+18,2.402323790791137e+37,4.901350620789271e+18
2,8,7,8.90567239963519e+16,1.043975571723665e+34,1.0217512279041632e+17
2,9,3,1.1359350136054982e+17,5.853845800364904e+34,2.4194722152496202e+17
2,8,9,6563624716553630.0,1.8228095649563296e+32,1.350114648819251e+16
2,9,6,3.81146082903809e+18,6.905526958181334e+37,8.309950034856608e+18
2,9,4,1964957861575092.5,1.8252788373541247e+31,4272328214632069.5
2,8,8,5.518657408481526e+17,3.982238776711712e+35,6.310498218612942e+17
2,9,7,1.2076217729341214e+17,6.86278691428808e+34,2.6196921411280525e+17
3,1,1,6.3201823476094035,58.07232639391628,7.620520086838973
2,9,5,2.4973050092782636e+16,2.9555578056078875e+33,5.4365042128263704e+16
3,1,2,8.310989994337321,89.87411290085495,9.480195826081598
2,9,8,1.1152315890024661e+17,5.837586084792119e+34,2.4161097004879805e+17
3,1,3,7.754881964044571,80.5479076997588,8.974848617094262
3,1,4,4.026010968989073,24.12565509325138,4.9117873623815775
3,1,5,4.2455370350211545,27.85962225463077,5.278221504885028
3,1,6,4.007255565364906,23.770734386549957,4.875524011483274
3,1,8,4.28780819474925,28.608870903371386,5.348726100986233
3,1,7,6.791718955521794,65.17661342582777,8.073203417840267
3,2,1,1408.5240341524154,2642004.181621307,1625.424308179654
3,1,9,4.179049205118571,27.090178434712346,5.204822613184079
3,2,2,8.016041373655659,85.38476262020197,9.240387579544592
3,2,3,10.185341928235554,127.26962512889028,11.281384007686746
3,2,4,8.621179937663877,96.38883294255051,9.817781467447242
3,2,5,9.004134830276119,103.80504061781737,10.188475873152832
3,2,6,11.492888899028706,161.99309438408585,12.727650780253434
3,2,7,7.284077325897238,72.93077207244919,8.539951526352429
3,3,1,1606.8947163867006,3535668.7506402037,1880.3374034040285
2,9,9,8.155245803400134e+16,3.117611302079285e+34,1.765675876846961e+17
3,2,8,10.781801595985542,138.79420127266755,11.781095079519032
3,2,9,7.345785070540395,73.94695965741764,8.599241807125651
3,3,2,1647.4397741903808,3714153.9066247777,1927.2140271969738
3,3,3,3436.634445598181,18339411.316788524,4282.453889627829
3,3,4,5564.0362178318155,50274395.87649893,7090.443983030888
3,3,5,2677.8108694497264,10649439.857029146,3263.347952184864
3,3,6,2096.1517722152844,6394398.522890354,2528.714796668528
3,3,8,4184.429666672345,31056448.372001365,5572.831270727776
3,4,1,164849.09809719468,49687693916.23693,222907.3662224668
3,3,7,1474.402765098016,3012686.850782801,1735.7093220878894
3,3,9,4209.315245197246,31544864.782153387,5616.481530473806
3,4,2,42539.48346872311,3341696164.5343256,57807.40579315358
3,4,3,223432.10768568152,93055680564.05632,305050.29186030343
3,4,4,168826.61978109455,63565617739.728645,252122.22777797407
3,4,5,23415.638527550727,1195960691.8044925,34582.66461400122
3,4,6,117913.09898880062,31139195808.478848,176463.0154125188
3,4,7,494564.8637206359,553185021646.2239,743764.0900488702
3,5,1,81977537.8983212,1.559677685428522e+16,124887056.39210662
3,4,8,23475.624285233072,1160826488.323466,34070.903837783146
3,5,2,105415176.69401804,2.5788179824493388e+16,160586985.22761235
3,5,3,691432.7557011088,1273298806723.0889,1128405.4265746372
3,4,9,1144195.421101945,2984794510854.453,1727655.7848293893
3,5,4,157579147.6883028,6.828525101329027e+16,261314467.6693012
3,5,5,2783511.206489854,18088796794569.242,4253092.615329373
3,5,6,219822.3323633646,116216160997.47243,340904.9148919276
3,5,7,308462.4346058514,219562711176.1736,468575.19265980524
3,5,9,174878098.52438387,8.409174997336957e+16,289985775.46729696
3,6,1,18821386845.749397,9.891851889945562e+20,31451314582.932083
3,5,8,2174503.3495756607,12368812701356.266,3516932.2855801852
3,6,2,1185388628.9282982,4.4210864189663027e+18,2102637966.6900108
3,6,4,14505513103.36186,6.871679102586716e+20,26213887736.43985
3,6,3,257720767.7133924,1.9754979371480982e+17,444465739.64121217
3,6,6,13774224635.328485,5.8763127557424146e+20,24241107144.151676
3,6,5,15892645.7605596,707651150240282.0,26601713.295204915
3,7,1,14664024094957.635,7.071845504152806e+26,26592941740531.09
3,6,7,429330731.0183652,5.639580379518402e+17,750971396.227473
3,7,2,448884690843.95654,7.460093590765493e+23,863718333183.075
3,7,3,911223556887.3905,3.1130424103071384e+24,1764381594300.7166
3,6,9,67086796.72904748,1.3884543540727494e+16,117832693.00464746
3,6,8,423793041.0979956,5.770457070800143e+17,759635246.0753874
3,7,5,1636359558374.3582,9.230014349977951e+24,3038093867868.133
3,7,4,131250397028.45497,6.334201606670732e+22,251678398093.09683
3,7,6,1041969585157.1714,4.092922476380469e+24,2023097248374.499
3,8,1,1.1414983511023728e+16,4.9262459163864794e+32,2.219514793009157e+16
3,8,2,116538335081630.39,5.565700712222207e+28,235917373506535.28
3,7,8,30699456829.717472,3.359522963034732e+21,57961392003.94286
3,8,3,3364870592828214.5,4.808654141398844e+31,6934446006278255.0
3,7,9,108131304289.64978,4.390255648815428e+22,209529369034.87845
3,7,7,825231967.7553514,2.372160851605532e+18,1540182083.912656
3,8,4,,,
3,8,5,204440119071810.78,1.6754379550476905e+29,409321139821496.44
3,8,6,7713764385718576.0,2.5373149967808963e+32,1.5928951618926138e+16
3,9,1,3.8345351392190095e+18,6.298325959417104e+37,7.936199316686234e+18
3,8,7,1257082059911.174,6.206509129399542e+24,2491286641356.137
3,9,2,,,
3,8,8,61889072903095.8,1.587219748764727e+28,125984909761634.83
3,9,3,2.762068778344661e+16,3.369004930440607e+33,5.804312991595652e+16
3,8,9,9121105767895974.0,3.514518214878873e+32,1.874704834068252e+16
3,9,5,1.3760610147505834e+17,8.103336419424259e+34,2.8466359829497446e+17
3,9,4,1.2516582927018534e+16,6.695540599647091e+32,2.587574269397323e+16
3,9,6,6.401593140872827e+17,1.9476121980624784e+36,1.3955687722439473e+18
4,1,1,6.2427958830574655,56.9323716929357,7.545354311954854
4,1,2,7.831090015580936,81.80610938615304,9.044672983925569
4,1,3,4.082329164649388,25.232953662224347,5.023241350186585
4,1,4,4.19559163301862,27.2401020343996,5.219205115187522
3,9,7,8.317779333649736e+17,3.2891071775339755e+36,1.813589583542532e+18
3,9,8,4106265303685729.5,7.572860837948206e+31,8702218589502453.0
4,1,5,4.22476723608416,27.602841988753696,5.253840689319928
4,1,6,7.558425379580616,77.36135942681705,8.79553065066668
4,1,7,4.277911676800205,28.56489283041824,5.3446134406913135
4,2,1,1417.470819660432,2675690.242258762,1635.7537229848392
3,9,9,2.2180143564596e+16,2.322583037733097e+33,4.819318455687585e+16
4,1,8,4.296684980683464,30.023898933054497,5.479406804851643
4,2,3,8.530311053660638,94.28258879910265,9.709922182958143
4,2,2,6.792387262620853,65.38130479911266,8.085870688992784
4,2,4,8.712344240295911,97.66164074400729,9.882390436731757
4,1,9,4.0671789096143245,24.941512308622876,4.994147806044879
4,2,5,8.054330501768934,86.07547412416092,9.277686895135066
4,2,6,7.72921762708842,80.40763459476617,8.967030422317421
4,2,7,12.851122405356133,199.44747962144973,14.122587568199028
4,3,1,1589.744471040729,3460678.582211956,1860.289918859949
4,2,8,7.729100795490987,80.52417952272457,8.973526593414908
4,3,2,1641.557570572284,3688616.485318681,1920.5771229811837
4,3,3,1944.6367765642049,5224588.820759625,2285.735947295668
4,2,9,8.130176968186397,87.28609914084943,9.342702989009627
4,3,4,2827.8853998495138,11884570.061207436,3447.400478796659
4,3,5,1999.4126902304379,5489428.594261505,2342.9529645858247
4,3,6,1988.7087313533139,5421128.488019878,2328.331696305292
4,3,7,1854.1009942226433,4792063.450741373,2189.0782194205335
4,3,8,1322.8210276405325,2479193.906199579,1574.545618964271
4,4,2,33891.15484298784,2483890644.2953186,49838.6460921173
4,4,1,207455.42097098843,78571253277.09138,280305.64260658645
4,4,3,214202.3923559383,83807551225.63216,289495.3388668497
4,4,4,3061234.2968374025,21354650049979.805,4621109.179621252
4,3,9,1798.0720915242605,4576519.341252019,2139.28009883045
4,4,5,322464.3142462782,235087367058.88086,484858.08960857906
4,4,6,201132.7182340835,91191378351.33159,301979.1025076596
4,4,7,1196117.0500873926,3251856284436.8115,1803290.4049089851
4,4,8,1463533.08514621,4870382040446.09,2206894.2068993906
4,5,1,33063127.38281057,2543328611198826.0,50431424.83807915
4,4,9,1998807.9021499266,9093943501669.523,3015616.603892067
4,5,2,17410324.462509472,833474314489823.0,28869955.221472427
4,5,3,39784163.02512753,3769407423327610.5,61395500.02506381
4,5,4,366914367.2108416,3.725962637688788e+17,610406638.0445733
4,5,5,283130841.86625063,2.212242033663546e+17,470344770.7441368
4,5,7,5474061.259107339,80931965385438.14,8996219.505183171
4,5,6,325090.3700217993,242193229863.06873,492131.3136380053
4,5,8,5026339.742368808,66272999980314.35,8140823.053003569
4,6,1,19102958565.779037,1.0200825581732089e+21,31938731317.527454
4,6,2,780751551.0287871,1.9545234562703936e+18,1398042723.335161
4,5,9,30300171.910224643,2490965970039954.5,49909577.93890823
4,6,3,286855945.2834677,2.41290570382098e+17,491213365.43512124
4,6,4,20517930538.09687,1.3769013319753689e+21,37106621133.907745
4,6,5,3206139793.0076947,3.2903630448372494e+19,5736168620.98496
4,6,6,6771975568.795349,1.4800113652668373e+20,12165571771.465727
4,7,1,1768213661371.136,1.0288212758751799e+25,3207524397218.484
4,6,7,1319832622.6323063,5.265377290943519e+18,2294640993.9124503
4,6,8,1160450437.8733962,4.301106368107832e+18,2073910887.2147405
4,7,2,606308798754.8359,1.366653714445273e+24,1169039654778.7732
4,6,9,2151326682.3878193,1.4854074085436606e+19,3854098349.2169223
4,7,3,939321713.0789437,3.069529483599772e+18,1752007272.7017353
4,7,4,8502559948953.731,2.719704357616884e+26,16491526180487.008
4,7,5,8404100544189.314,2.618404406153333e+26,16181484499740.229
4,7,6,31649949311.350067,3.3378838775221107e+21,57774422346.93577
4,7,8,16453668785.855726,9.995368106692626e+20,31615452087.061203
4,8,1,4481264667789750.0,7.604511179885242e+31,8720384842359448.0
4,8,2,22310639776322.438,2.0744717988830068e+27,45546369766239.41
4,7,7,919374384.3837734,2.8407164957068954e+18,1685442522.2198753
4,8,3,6.141348545673183e+24,5.216848132003397e+49,7.222775181329817e+24
4,7,9,188209037752.9741,1.3089804523461949e+23,361798348855.5738
4,8,5,20020246519285.676,1.601772705183336e+27,40022152680526.02
4,8,7,2131642938560.9167,1.8221056270373276e+25,4268612921122.4194
4,8,6,514320631948476.56,1.0694206494023172e+30,1034127965680416.8
4,8,4,4082683146624.613,6.28117069876385e+25,7925383712328.287
4,9,1,1.8783376312709407e+18,1.5092557537746734e+37,3.8849140965723725e+18
4,9,3,,,
4,9,2,1.885197595129802e+17,1.6798602431234443e+35,4.098609816905537e+17
4,8,8,6508176117326.446,1.798742768554329e+26,13411721621605.217
4,9,5,2.900389588335676e+17,3.8808401420057636e+35,6.229638947808905e+17
4,9,4,3660212639069895.5,5.7203533868024085e+31,7563301783482138.0
4,8,9,45251309233799.79,8.391642640855105e+27,91605909421036.3
4,9,8,1.7393984795831627e+28,4.197587898665568e+56,2.0488015762063364e+28
5,1,1,4.112583958643872,25.833556959222136,5.082672226223341
5,1,2,7.159374276222892,70.8993338886664,8.420174219614841
5,1,3,4.129186672132127,26.082430306600052,5.107096073758555
4,9,6,6.002840546837355e+16,1.7062319829986013e+34,1.306228151204299e+17
4,9,7,2455018096074967.0,2.65558382937335e+31,5153235711058975.0
5,1,4,4.12769680326382,26.06299190039708,5.10519264087038
5,1,5,4.19152025724222,27.22994852431686,5.218232317970987
5,1,7,4.834697700999972,37.53505287515503,6.126585743720154
5,1,6,4.26617432778298,28.209604295564663,5.311271438701346
5,1,8,4.788369496508877,37.09762554730066,6.090782014429728
4,9,9,5104214048874685.0,1.1651229988514176e+32,1.0794086338599564e+16
5,2,1,1469.6368186261657,2876369.8916230714,1695.986406674025
5,2,2,6.711036305674911,64.12451189782125,8.00777821232714
5,2,3,9.20703519340173,107.42958394486713,10.364824356681938
5,2,4,10.551220044528035,136.22545619720873,11.67156614157709
5,1,9,4.2368945554112,27.801448066756564,5.272707849554777
5,2,5,9.158491502586134,105.81408337853827,10.286597269191512
5,2,6,9.341939042821382,109.35273879650481,10.45718598842465
5,2,7,8.07279489008668,86.40850970744417,9.295617769005144
5,3,1,1597.1815200534734,3492932.6467260155,1868.9389093081709
5,2,8,8.15689287327323,87.57866275089056,9.35834722324891
5,3,2,1601.9036186565947,3512538.2273731693,1874.176679871236
5,2,9,7.973630904140655,84.4051789316862,9.187229121540737
5,3,3,1950.4427641487105,5216435.674074304,2283.951767020115
5,3,4,2491.5320887548232,9179426.67102891,3029.7568666526545
5,3,5,1982.490843118374,5386870.86909962,2320.963349365866
5,3,7,4530.453551141984,33115231.82619217,5754.583549327629
5,3,6,1896.4103835649562,4974285.004780648,2230.310517569392
5,3,8,2490.0640236951726,10795403.912055274,3285.635998106801
5,4,2,216267.11453205693,85422344831.1535,292271.01264263876
5,4,1,207105.09869721977,78291453706.18774,279806.10019473796
5,4,3,236285.863112909,102169859833.5891,319640.2037191021
5,3,9,1673.4887470292165,4060113.3894810127,2014.97230489181
5,4,4,1145923.3761265504,2991574289458.6533,1729616.8042253328
5,4,5,628419.8881369163,896373012643.4688,946769.7780577223
5,4,6,654996.9632585569,974890655368.3491,987365.5125475819
5,5,1,20350937.819404062,968662252104407.1,31123339.346933953
5,4,7,2174952.9621814634,10767447776157.422,3281378.9443094535
5,4,8,1030946.5287442895,2423051083539.8555,1556615.265099201
5,5,2,35730720.01500828,2996567097844890.5,54740908.814568385
5,5,3,30565430.54190674,2177859533922207.5,46667542.61713603
5,4,9,2118566.6018460654,10244426735697.195,3200691.602716075
5,5,4,101438661.65809982,2.8390226901661564e+16,168493996.6338907
5,5,5,65516465.335954145,1.1879618414414774e+16,108993662.26719227
5,5,7,115737659.71747781,3.674166824914513e+16,191681163.0002936
5,5,6,1198007.145895303,3682705770692.245,1919037.7199764065
5,5,8,16568019.514386065,744009433776281.4,27276536.322932966
5,5,9,22072941.931125462,1281223038069824.8,35794176.03563218
5,6,1,15334115972.950659,6.573839011528576e+20,25639498847.537125
5,6,2,338169785.3756686,3.617532395908072e+17,601459258.4629545
5,6,3,2521794355.0783052,1.7705637708524317e+19,4207806757.507326
5,6,4,16660476213.209843,9.076819727367007e+20,30127760831.776077
5,6,5,7376635247.0454235,1.7592805487389393e+20,13263787350.29682
5,6,8,6303311948.945785,1.2226619828475732e+20,11057404681.242218
5,6,6,259549900.09060997,1.8934135793039885e+17,435133724.1933781
5,6,7,170855969.95835745,8.618593959835235e+16,293574419.18251723
5,7,1,676765195103.9261,1.4900569741445032e+24,1220678898869.1921
5,7,2,416984502890.5366,6.454274171464478e+23,803384974434.0803
5,7,3,16145836369483.678,8.581765918122944e+26,29294651249200.668
5,7,4,616290242803.6268,1.4219513875936738e+24,1192456031723.465
5,6,9,37853957.43094689,4344911736991717.0,65915944.48228529
5,7,5,2435334046220.444,2.2058306636890567e+25,4696627155405.31
5,7,6,3683715185892.227,5.005936981363216e+25,7075264646190.428
5,7,8,6913427947058.905,1.7910247864200267e+26,13382917418933.836
5,8,1,2354130526041416.5,2.095927300564044e+31,4578129858975217.0
5,7,7,590326632599.3591,1.2494591777928425e+24,1117792099539.4639
5,8,3,1.1192740982852204e+16,4.7889200391386156e+32,2.18836012555946e+16
5,8,2,18949235194353.223,1.50503439011052e+27,38794772716314.76
5,8,4,8650512569389707.0,3.1855716880046864e+32,1.7848169900593972e+16
5,7,9,4707051187888.92,8.314854294972224e+25,9118582288367.104
5,8,5,1118594986812896.5,5.26394746649001e+30,2294329415426217.5
5,8,6,4378619380630127.5,8.123195135290182e+31,9012876974246448.0
5,9,1,1.3424744264252575e+18,7.783272214331688e+36,2.7898516473697464e+18
5,9,2,7.900701346435252e+17,2.964771009769886e+36,1.7218510416902753e+18
5,8,7,3920875880316.7036,6.3669957223763595e+25,7979345663885.203
5,8,8,3.172541803329891e+24,1.3093900811872385e+49,3.6185495453112683e+24
