degree,λ,mae,mse,rmse
17,10,15.627958673535408,383.4184054999856,19.581072634051118
37,1000,8.20460739033766,88.34367581873184,9.399131652377886
20,100,5.170459204037043,43.5967054524696,6.60278013055634
22,1000,8.205575336730016,88.36140617963203,9.400074796491356
17,1,13.476109535999498,271.97616423669484,16.491699858919784
9,1e-05,42.79191088414037,4905.932211211478,70.04236012022638
50,0.01,51.8764724501566,5072.386432126681,71.22068823120625
42,1000,8.204602638963056,88.34358850897479,9.399127007811671
37,100,5.183308749335595,43.83070240670507,6.620475995478352
14,10,15.454514847122574,373.6408601423148,19.32979203567164
20,0.0001,273.67885360248664,214207.4970132734,462.825557865243
2,0.01,7.531757865749704,83.83657197509409,9.156231319440007
22,100,5.176827324485107,43.71160643660877,6.611475360054575
17,0.1,26.59593762487208,1260.6610747888183,35.50578931369951
20,1e-05,213.45147426512008,120885.26014705547,347.68557655884354
50,0.001,44.1424639871025,7381.8511993238335,85.91770015150448
54,100000,16.353113224278253,288.89207421351006,16.99682541575073
8,10000,4.865210586029494,33.37032349788674,5.776705245889454
42,100,5.183343723327672,43.83138490681215,6.620527539917959
37,10,15.717429555204182,388.79891100470195,19.717984455940265
2,1e-05,7.545366278089036,84.13297757108909,9.172403042337875
19,100000,16.353229507754676,288.895766243951,16.996934024816095
14,1,13.28534376230065,263.09291567815944,16.22013920033239
22,10,15.702472368513705,387.8510989283212,19.693935587594503
17,0.01,52.32765245329502,5192.667806843279,72.06016796291333
8,1000,8.358103475388228,91.13359569462531,9.54639176310219
42,10,15.71750047407103,388.8038326701062,19.718109256977613
37,1,13.611104967089018,278.6820015576507,16.693771340163096
57,10,15.71751714051442,388.80501835078974,19.718139322735038
50,1e-05,155.68637884736492,56375.647191133285,237.43556429299568
14,0.1,24.28559350889178,1021.3343646296022,31.95832230624133
8,100000,16.3638561676281,289.2348433016456,17.006905753300497
42,1,13.61125805704977,278.6906694623455,16.694030953078574
22,1,13.58418897916998,277.28001831404316,16.65172718711315
17,0.001,14.919568521297535,292.9855916706009,17.116821891653863
19,1000,8.207418783521307,88.39506682232378,9.401865071480433
53,100,5.183351962810132,43.83154991196985,6.620540001538383
14,100,5.083416406464444,42.081391115998265,6.4870171200636015
16,0.001,20.821240484850684,569.4952873808732,23.864100389096446
37,0.1,28.21647645618207,1455.9207262929651,38.15652927472525
49,100000,16.35311322726263,288.89207430962676,16.996825418578222
14,0.01,49.63768842138379,4601.358829344332,67.8333165144115
8,10,13.568458451049095,282.4399990496061,16.80595129856106
42,0.1,28.21809712093371,1456.159493305318,38.159657929616166
22,0.1,27.900685013961372,1414.569873044561,37.61076804645926
17,0.0001,206.9837528240956,120076.27170082001,346.5202327438039
19,100,5.165213529083758,43.50278276545356,6.595663936667298
37,0.01,51.89057033732789,5076.309731134076,71.2482261613163
49,10000,4.853982016570681,33.16146586686456,5.758599297300044
14,0.001,37.35214715046742,2228.978972962499,47.212063849851965
1,1,7.963301969295631,83.88711013643177,9.158990672362963
16,100000,16.353482487271826,288.9038005204523,16.9971703680481
8,1,12.432163127680106,227.30379737793146,15.076597672483386
57,0.1,28.218482873339635,1456.218138830665,38.16042634498028
42,0.01,51.87941701849573,5073.224258334405,71.22656989027624
22,0.01,52.521283734574155,5236.655336909215,72.36473821488761
19,10,15.673781021014744,386.1128822919842,19.649755273081244
57,0.01,51.87622449705909,5072.313646444146,71.22017724243703
50,0.0001,350.0020821133088,365881.45597835415,604.8813569439499
37,0.001,43.917607890769496,7293.326287121268,85.40097357244395
49,1000,8.204601623081322,88.34356988618951,9.39912601714593
14,0.0001,116.24957627242135,37722.84919096602,194.2237091370825
19,10000,4.854046908558074,33.1630897228254,5.758740289579432
16,10000,4.854218664452063,33.166955084173274,5.759075888037358
37,10000,4.853982096374697,33.16146818462841,5.758599498543757
42,0.001,44.09717925062588,7363.327083997341,85.80983092861412
22,0.001,29.51548172489911,2968.461860394636,54.48359257973575
1,100000,16.82666212490009,304.45301612608733,17.44858206634818
8,0.01,27.259463515832913,1237.463179229954,35.17759484714602
19,1,13.539257885877513,275.03789104123734,16.58426637030524
57,0.001,44.14612951394212,7383.434048081449,85.92691108192734
49,100,5.1833513242037945,43.83153679692612,6.620539011056889
37,0.0001,349.5920621197114,364800.2022267307,603.9869222315419
