degree,mae,mse,rmse,time
177,1.0931360938833545e+28,2.713567185452819e+57,5.209191094069039e+28,787600410
178,1.3822381795337372e+29,4.468247299832114e+59,6.684494969578565e+29,838355048
179,1.5876154982700654e+28,5.855514083312366e+57,7.652133090395361e+28,790680700
180,1.0173728423106164e+28,2.4286652657576082e+57,4.92814900927073e+28,818654292
181,1.775507435857075e+28,7.471270276147869e+57,8.643651008773936e+28,958351883
183,2.5852420442978874e+29,1.5918415473992116e+60,1.261682031020182e+30,822774773
182,2.2093646856460933e+27,1.1877042824484184e+56,1.089818463070074e+28,890898651
184,1.6024245919111157e+29,6.062574048756327e+59,7.786253302299076e+29,864284497
185,3.678220439113791e+26,5.007223488858181e+54,2.23768261575635e+27,789442098
186,2.058024372463391e+29,1.032406245297987e+60,1.0160739369248613e+30,806840900
187,6.532495325284139e+28,1.045037223353981e+59,3.232703548663225e+29,845842053
188,5.062713505281317e+28,6.348047451555731e+58,2.5195331812769863e+29,826606564
189,1.844488768161558e+29,8.440916709174355e+59,9.187446168100446e+29,830769568
190,3.460561414368721e+29,2.9524120062273783e+60,1.7182584224229422e+30,860919287
191,2.7122123768524382e+29,1.829246979888914e+60,1.35249657296753e+30,869135684
192,2.045365607168704e+29,1.0347462747077895e+60,1.0172247906474701e+30,520932237
193,1.4208077266725525e+29,4.887622445208085e+59,6.99115329914034e+29,798237060
194,1.3019521827841698e+30,4.2292439733711996e+61,6.503263775498576e+30,873081227
195,2.3552153476426476e+29,1.482122818662504e+60,1.2174246665245878e+30,879484476
196,2.989697407771696e+29,2.3344593139947856e+60,1.527893750885442e+30,869105209
197,5.778283102617531e+29,8.582902859344919e+60,2.929659171191236e+30,905735790
198,4.7370881221501224e+30,5.709682504679262e+62,2.3894941943179653e+31,907654732
199,5.458996762639495e+30,7.468102214082855e+62,2.732782869911705e+31,890182050
200,7.935300689473829e+30,1.6156142041928393e+63,4.019470368335658e+31,934956921
201,1.834027414359132e+31,8.728212146239894e+63,9.342490110372018e+31,775403385
202,1.0492121365755332e+31,2.8610304861407788e+63,5.348860145994452e+31,911804020
203,3.455727681006868e+31,3.0987294507967684e+64,1.7603208374602535e+32,956288505
204,1.420147754528382e+31,5.397715485657889e+63,7.346914648788217e+31,940509055
205,2.227837906032171e+31,1.311620247813709e+64,1.1452599040452385e+32,613457244
206,6.595784048979465e+29,1.6205094188085028e+61,4.025555140360771e+30,929360459
207,9.887067611706374e+32,2.606087348469626e+67,5.104985160085802e+33,925105826
208,3.9212752321606996e+32,3.999348261499174e+66,1.9998370587373296e+33,1007179892
209,4.350777045340057e+32,5.057586789576482e+66,2.2489079104259653e+33,1030683013
210,2.502807653765375e+32,1.6829502366410894e+66,1.2972857189690672e+33,993867950
211,1.3181875625940779e+31,4.976108074599477e+63,7.054153439357183e+31,994883954
212,3.845091720348204e+32,4.02867317887995e+66,2.0071554944448e+33,1011727047
213,1.2034022943335113e+33,3.9443590814893165e+67,6.280413267842584e+33,1008933830
214,3.052894585307892e+32,2.5457559262403904e+66,1.5955425178416244e+33,975595121
215,2.8694209887249115e+33,2.2945580191393197e+68,1.5147798583092263e+34,1002576346
216,9.058520243921044e+32,2.274621600158173e+67,4.7692993197724263e+33,1029777717
217,9.492043171674948e+32,2.4896912460946285e+67,4.9896805970869804e+33,1050734494
218,1.908189115793687e+33,1.0001688313854444e+68,1.0000844121300184e+34,1066779799
220,1.1590667376862009e+33,3.850332626090593e+67,6.205104854948538e+33,754652023
219,4.257658334303433e+33,4.692118016895909e+68,2.1661297322404095e+34,1010689428
221,3.366042961224744e+33,3.165818272636943e+68,1.7792746478936138e+34,1078573854
222,4.9165545135722324e+33,6.861412893726601e+68,2.6194298795208475e+34,1157868195
223,3.46021332127139e+33,3.4196680652618733e+68,1.849234453838094e+34,1196825176
224,6.433432479613753e+34,1.1979192937574965e+71,3.461097071388632e+35,1184167081
225,2.7038274213508394e+34,2.0846006919680042e+70,1.4438146321353044e+35,1179882006
226,4.095077813257401e+35,4.843661546253406e+72,2.2008320122747683e+36,1091182045
228,4.2819447176672155e+34,5.2410816596278126e+70,2.2893408788618207e+35,1080836266
227,1.5444544700766743e+34,6.969737192815905e+69,8.348495189443368e+34,1127176977
229,7.522954778118743e+34,1.64702130594546e+71,4.058351027135849e+35,1011987166
230,7.502666809740148e+34,1.653015617946876e+71,4.065729476916628e+35,1036595387
231,7.266340630496092e+34,1.5605624467359077e+71,3.950395482399082e+35,1028382217
232,1.9583340476451196e+35,1.1288022447931996e+72,1.0624510552459345e+36,1131494388
233,1.3634003023638911e+35,5.527586203976958e+71,7.43477383918096e+35,1053765751
234,1.4438383312090232e+35,6.285809312844383e+71,7.928309600945453e+35,1095410515
235,1.350149707950811e+34,5.6642444354171456e+69,7.526117482086727e+34,1069802189
236,6.941884227983125e+33,1.7659041355906614e+69,4.202266216686732e+34,1141175050
237,1.7770492049476973e+36,9.668954268164633e+73,9.83308408799835e+36,1014714721
238,7.523945510775714e+34,1.6043437877902593e+71,4.005426054479422e+35,1116238307
239,8.562268104204694e+35,2.238072510663985e+73,4.7308271059762745e+36,1028204407
240,1.4997011605173302e+35,5.489219568186749e+71,7.408926756411315e+35,1132156447
241,3.542061549718049e+36,3.859630303937783e+74,1.9645941830153582e+37,1125802171
243,6.927379901978419e+35,1.467183855535482e+73,3.8303836042039993e+36,775629073
242,5.84173714136772e+36,1.0608829569855037e+75,3.2571198273712677e+37,1167925182
244,1.1508200387292771e+36,4.0381737187577734e+73,6.354662633655522e+36,1179714095
245,8.949718143825687e+35,2.600051476913035e+73,5.099069990609106e+36,1139758582
246,1.4192199187397098e+37,6.361402220712835e+75,7.975839906061828e+37,1144350159
247,8.329059402779033e+36,2.1309215692140216e+75,4.616190603965592e+37,1150776432
249,4.4646025343027283e+36,6.300913685891615e+74,2.510162083589746e+37,1182366929
248,5.220492410164926e+36,8.611812259849414e+74,2.9345889422284366e+37,1347483345
250,1.883137481580968e+37,1.1328589270913618e+76,1.064358457988361e+38,1162664575
251,4.547832027905536e+37,6.580490164606537e+76,2.5652466089260377e+38,1372896617
252,1.8141195900912263e+37,1.0523840948413322e+76,1.0258577361609806e+38,1239853848
253,4.422543682083419e+37,6.26077857660845e+76,2.502154786700545e+38,1191959170
254,8.139342380326022e+37,2.180404601127839e+77,4.669480272072941e+38,1123772819
255,3.6738449413520846e+37,4.428418261851214e+76,2.104380731201275e+38,1160818323
256,4.086433450498074e+38,5.442420291232973e+78,2.332899545894116e+39,1159788345
257,2.6599772604637e+38,2.3128080727243757e+78,1.5207919228889848e+39,1130884755
258,3.4830208386729095e+38,3.972181139834716e+78,1.9930331507114265e+39,1176839201
259,8.901087982625217e+39,2.5873360726175487e+81,5.086586352965561e+40,1190787850
