,polynomial-regression-model-degree,residuals-min,residuals-max,residuals-µ,residuals-σ,mse,mae,rmse
58,59,4.916201589201827e+21,2.2679951473630076e+23,6.880357678366664e+22,5.375649809905088e+22,7.623693266099172e+45,6.880357678366664e+22,8.731376332571614e+22
59,60,2.2844377218390675e+21,2.1752328745771206e+23,6.743202785786731e+22,5.278198862011219e+22,7.333016703717845e+45,6.743202785786731e+22,8.563303511915156e+22
60,61,2.9743176335676397e+21,2.6617579006670067e+23,7.3115059277351585e+22,5.83329582597056e+22,8.74854591245919e+45,7.3115059277351585e+22,9.35336619215734e+22
61,62,6.636891549007079e+21,4.637416839812225e+23,1.8524438818185375e+23,1.2254569815893848e+23,4.933293149013098e+46,1.8524438818185375e+23,2.221101787179754e+23
62,63,1.4227471493934717e+22,8.285180501930129e+23,2.6684461874485173e+23,1.8664350295578532e+23,1.0604184774869152e+47,2.6684461874485173e+23,3.256406727494149e+23
63,64,1.0371844074709772e+22,7.472194958311137e+23,2.3306862996494722e+23,2.000209784637723e+23,9.432937809934234e+46,2.3306862996494722e+23,3.0713088105780305e+23
64,65,1.6845771277876937e+22,1.0046920942598242e+24,3.0423031914550394e+23,2.4379198664856358e+23,1.5199061984142857e+47,3.0423031914550394e+23,3.898597438072166e+23
65,66,4.0330780229006e+20,8.95585366870898e+23,2.8472842979468625e+23,2.233562613617171e+23,1.3095829822283128e+47,2.8472842979468625e+23,3.618816080195722e+23
66,67,1.1209951089824956e+22,9.173353021351223e+23,2.9153746430780745e+23,2.267481934868128e+23,1.3640883634455918e+47,2.9153746430780745e+23,3.693356689307969e+23
67,68,2.234857204638019e+22,9.313914840801889e+23,2.9486498787912648e+23,2.279042087360756e+23,1.3888568943657414e+47,2.9486498787912648e+23,3.7267370370952404e+23
68,69,5.137289252177634e+21,1.6152014327189222e+24,4.1740703063828794e+23,3.8255098458982446e+23,3.205738850369167e+47,4.1740703063828794e+23,5.6619244523122765e+23
69,70,7.694429905792964e+21,1.1358409884667835e+24,3.299999068537037e+23,2.3882142322255674e+23,1.6593561071350074e+47,3.299999068537037e+23,4.073519494411445e+23
70,71,2.382460766935245e+20,9.753957381845886e+23,3.224256095235003e+23,2.5589424515014913e+23,1.6944013837756526e+47,3.224256095235003e+23,4.116310707144995e+23
71,72,7.297174171446957e+21,1.1890861131257946e+24,3.777174972657298e+23,2.72859697879627e+23,2.171229224676479e+47,3.777174972657298e+23,4.659645077338487e+23
72,73,1.3081478894023417e+23,1.2088260987019998e+25,3.026160637470242e+24,2.6323720390661776e+24,1.608703075583173e+49,3.026160637470242e+24,4.010864090920026e+24
73,74,2.9801630564559786e+21,2.290254451685977e+24,5.604778899624847e+23,4.846243124268518e+23,5.489961893319983e+47,5.604778899624847e+23,7.40942770618621e+23
74,75,1.7213365381336029e+22,6.642003826435586e+23,1.8093129923239217e+23,1.6733340923017527e+23,6.073660488651472e+46,1.8093129923239217e+23,2.4644797602438273e+23
75,76,1.8294896737694022e+21,6.86275486890191e+23,1.7469780907497397e+23,1.7464149653960673e+23,6.101897680918953e+46,1.7469780907497397e+23,2.4702019514442443e+23
76,77,8.808319086238494e+21,4.9503235181553054e+23,1.3616296362254756e+23,1.1760113981862555e+23,3.2370380749115115e+46,1.3616296362254756e+23,1.799177054909136e+23
77,78,2.1293706055497411e+21,5.465570322849118e+23,1.4344118049724648e+23,1.2640023330639088e+23,3.655239124235368e+46,1.4344118049724648e+23,1.9118679672601266e+23
78,79,3.026528035460269e+21,3.756917167546683e+23,1.2104338795330308e+23,9.599995529817418e+22,2.386749318446528e+46,1.2104338795330308e+23,1.5449107800926653e+23
79,80,4.72179961993587e+21,1.2481433563940665e+24,3.462813324682302e+23,2.9931380856457227e+23,2.0949951721340233e+47,3.462813324682302e+23,4.577111722619433e+23
80,81,4.613576720786041e+21,9.424476715127486e+23,2.950226703013847e+23,2.280854509529447e+23,1.3906134892816771e+47,2.950226703013847e+23,3.7290930389059446e+23
81,82,5.736154239115897e+21,1.1625902730959217e+24,4.498700597623634e+23,3.0066528914510738e+23,2.927826867673034e+47,4.498700597623634e+23,5.410939722149041e+23
82,83,1.6728363897383884e+22,5.013220142873605e+23,1.5435083401947043e+23,1.226646995102655e+23,3.8870808468449835e+46,1.5435083401947043e+23,1.971568118743297e+23
83,84,2.103712900853577e+22,4.7018961169288224e+23,1.7207779959518653e+23,1.1848530431047998e+23,4.3649536451068246e+46,1.7207779959518653e+23,2.0892471479235827e+23
84,85,1.4687749428693086e+22,6.020104666155085e+23,1.7833522676904214e+23,1.602469589426992e+23,5.748254095714882e+46,1.7833522676904214e+23,2.3975516878088116e+23
85,86,1.8383719857350238e+22,4.57593715588642e+23,1.7442084822863382e+23,1.178371704853276e+23,4.430823104478426e+46,1.7442084822863382e+23,2.1049520432728215e+23
86,87,3.630841669170919e+21,4.1267689667133875e+23,1.4892830445723835e+23,1.0174580803589919e+23,3.2531849321385916e+46,1.4892830445723835e+23,1.8036587626650978e+23
87,88,3.281342931907134e+21,3.354559351883507e+23,1.2915799535816451e+23,8.538298025531802e+22,2.397204108221968e+46,1.2915799535816451e+23,1.5482907053334553e+23
